team_abbr,team_name,last_loss_date,last_loss_opponent,last_loss_score,last_loss_season,run_length,results,opponents,scores,seasons,dates
BRE,Brentford,2026-05-09,MCI,0-3,2025-26,7,"D,D,W,D,D,D,W","CRY,LIV,TOT,LEE,SUN,BOU,CHE","2-2,1-1,3-0,1-1,1-1,2-2,3-0","2025-26,2025-26,2026-27,2026-27,2026-27,2026-27,2026-27","2026-05-17,2026-05-24,2026-08-22,2026-08-30,2026-09-05,2026-09-12,2026-09-18"
LIV,Liverpool,2026-05-15,AVL,2-4,2025-26,6,"D,D,D,W,D,W","BRE,NEW,NFO,IPS,FUL,BOU","1-1,2-2,2-2,2-0,0-0,1-0","2025-26,2026-27,2026-27,2026-27,2026-27,2026-27","2026-05-24,2026-08-23,2026-08-29,2026-09-04,2026-09-12,2026-09-20"
EVE,Everton,2026-05-24,TOT,0-1,2025-26,5,"W,D,D,D,W","CRY,BOU,MUN,TOT,IPS","2-0,1-1,2-2,0-0,1-0","2026-27,2026-27,2026-27,2026-27,2026-27","2026-08-22,2026-08-29,2026-09-06,2026-09-12,2026-09-19"
LEE,Leeds United,2026-05-24,WHU,0-3,2025-26,5,"W,D,D,W,D","NFO,BRE,BHA,NEW,CRY","1-0,1-1,1-1,4-1,0-0","2026-27,2026-27,2026-27,2026-27,2026-27","2026-08-22,2026-08-30,2026-09-05,2026-09-14,2026-09-20"
MCI,Manchester City,2026-05-24,AVL,1-2,2025-26,5,"W,W,W,W,W","BOU,CRY,COV,MUN,SUN","2-1,4-1,1-0,1-0,5-3","2026-27,2026-27,2026-27,2026-27,2026-27","2026-08-23,2026-08-28,2026-09-05,2026-09-13,2026-09-20"
BHA,Brighton and Hove Albion,2026-08-30,CHE,3-4,2026-27,3,"D,W,W","LEE,COV,ARS","1-1,5-0,3-0","2026-27,2026-27,2026-27","2026-09-05,2026-09-13,2026-09-19"
FUL,Fulham,2026-09-05,CRY,2-3,2026-27,2,"D,D","LIV,MUN","0-0,1-1","2026-27,2026-27","2026-09-12,2026-09-20"
NEW,Newcastle United,2026-09-14,LEE,1-4,2026-27,1,W,HUL,2-1,2026-27,2026-09-19
COV,Coventry City,2026-09-13,BHA,0-5,2026-27,1,W,NFO,1-0,2026-27,2026-09-19
MUN,Manchester United,2026-09-13,MCI,0-1,2026-27,1,D,FUL,1-1,2026-27,2026-09-20
AVL,Aston Villa,2026-09-12,NFO,1-2,2026-27,1,W,TOT,3-2,2026-27,2026-09-19
CRY,Crystal Palace,2026-09-12,IPS,2-3,2026-27,1,D,LEE,0-0,2026-27,2026-09-20
BOU,Bournemouth,2026-09-20,LIV,0-1,2026-27,0,,,,,
SUN,Sunderland,2026-09-20,MCI,3-5,2026-27,0,,,,,
ARS,Arsenal,2026-09-19,BHA,0-3,2026-27,0,,,,,
HUL,Hull City,2026-09-19,NEW,1-2,2026-27,0,,,,,
IPS,Ipswich Town,2026-09-19,EVE,0-1,2026-27,0,,,,,
NFO,Nottingham Forest,2026-09-19,COV,0-1,2026-27,0,,,,,
TOT,Tottenham Hotspur,2026-09-19,AVL,2-3,2026-27,0,,,,,
CHE,Chelsea,2026-09-18,BRE,0-3,2026-27,0,,,,,
